LSOA2001,PTAI2015,PTAL
E01000363,5.38097,2
E01000364,3.823,1b
E01000365,10.9912,3
E01000366,15.4365,4
E01000367,3.20996,1b
E01000368,2.41844,1a
E01000369,4.21462,1b
E01000370,10.7576,3
E01000371,4.97689,1b
E01000372,3.50441,1b
E01000373,3.11407,1b
E01000374,2.26362,1a
E01000375,6.52067,2
E01000376,2.19275,1a
E01000377,1.62648,1a
E01000378,4.31319,1b
E01000379,7.05411,2
E01000380,5.18912,2
E01000381,1.43135,1a
E01000382,3.01202,1b
E01000383,0.677378,1a
E01000384,7.69227,2
E01000385,3.61829,1b
E01000386,6.65619,2
E01000387,7.4484,2
E01000388,4.35928,1b
E01000389,8.03609,2
E01000390,2.89856,1b
E01000391,1.68107,1a
E01000392,11.2378,3
E01000393,8.81402,2
E01000394,15.4882,4
E01000395,4.94627,1b
E01000396,4.80394,1b
E01000397,4.82311,1b
E01000398,3.35725,1b
E01000399,8.83361,2
E01000400,10.4133,3
E01000401,11.8369,3
E01000402,3.55182,1b
E01000403,9.61681,2
E01000404,7.16235,2
E01000405,2.40968,1a
E01000406,2.82144,1b
E01000407,5.89327,2
E01000408,2.32499,1a
E01000409,6.05412,2
E01000410,3.39149,1b
E01000411,3.93518,1b
E01000412,6.77975,2
E01000413,3.13988,1b
E01000414,15.578,4
E01000415,10.0208,3
E01000416,14.2417,3
E01000417,6.47468,2
E01000418,8.33427,2
E01000419,3.82175,1b
E01000420,4.24964,1b
E01000421,3.69421,1b
E01000422,9.60783,2
E01000423,5.6252,2
E01000424,12.0637,3
E01000425,2.02419,1a
E01000426,4.01798,1b
E01000427,3.50594,1b
E01000428,8.34943,2
E01000429,1.88013,1a
E01000430,0.738143,1a
E01000431,3.88447,1b
E01000432,6.72977,2
E01000433,9.43322,2
E01000434,3.06227,1b
E01000435,6.34223,2
E01000436,5.0137,2
E01000437,2.76876,1b
E01000438,3.66003,1b
E01000439,4.73103,1b
E01000440,2.87468,1b
E01000441,3.73763,1b
E01000442,4.71723,1b
E01000443,9.31065,2
E01000444,1.73546,1a
E01000445,5.52986,2
E01000446,5.51408,2
E01000447,7.28666,2
E01000448,6.52184,2
